cover,title,author,isbn,timestamp
![](https://img1.od-cdn.com/ImageType-400/1191-1/291/0E8/B5/{2910E8B5-7D5E-4A06-ABFE-E44C4E17C65B}Img400.jpg),Zealot,Reza Aslan,9780804148740,"April 04, 2019 05:52"
![](https://img1.od-cdn.com/ImageType-400/5054-1/8FD/EAD/80/{8FDEAD80-9F94-4F17-80D1-44CB9FC9987D}Img400.jpg),Young and Damned and Fair,Gareth Russell,9781508227380,"February 21, 2021 11:08"
![](https://img1.od-cdn.com/ImageType-400/1219-1/E71/1BA/0B/{E711BA0B-6BFE-4257-9829-55C40E752425}Img400.jpg),Writing on the Wall,Tom Standage,9781452683331,"April 02, 2019 04:27"
![](https://img1.od-cdn.com/ImageType-400/1219-1/BAF/C78/21/{BAFC7821-1BE2-48DF-9D2E-A578A73D9EB9}Img400.jpg),Women's Work,Elizabeth Wayland Barber,9781400171323,"February 04, 2020 04:41"
![](https://img1.od-cdn.com/ImageType-400/5054-1/2E0/7D4/32/{2E07D432-A6C4-4C91-B952-0C47095CFC67}Img400.jpg),Women in the Kitchen,Anne Willan,9781797115856,"February 21, 2021 11:09"
![](https://img1.od-cdn.com/ImageType-400/0439-1/1A0/7F6/12/{1A07F612-83EF-4E12-8956-B2AC58E37518}Img400.jpg),Women in the Kitchen,Anne Willan,9781501173332,"March 17, 2021 06:53"
![](https://img1.od-cdn.com/ImageType-400/2343-1/C66/496/65/{C6649665-445F-425E-8CD8-19F1679BAB4D}Img400.jpg),A Winter's Promise,Christelle Dabos,9781974955138,"May 15, 2020 02:25"
![](https://img1.od-cdn.com/ImageType-400/1191-1/54E/A14/6E/{54EA146E-F31A-4AEE-8DCB-B2AEDE605E39}Img400.jpg),Windwitch,Susan Dennard,9780147523808,"May 15, 2020 17:33"
![](https://img1.od-cdn.com/ImageType-400/1191-1/8C3/1B4/40/{8C31B440-6C9A-4F4A-B096-5D85B1546B6D}Img400.jpg),Who Ate the First Oyster?,Cody Cassidy,9780593168820,"February 21, 2021 11:21"
![](https://img1.od-cdn.com/ImageType-400/1523-1/401/A8B/DD/{401A8BDD-432D-47CD-BED8-938372F4D15A}Img400.jpg),Who Ate the First Oyster?,Cody Cassidy,9780525504672,"February 15, 2021 11:11"
![](https://img1.od-cdn.com/ImageType-400/1219-1/AAE/D2D/E2/{AAED2DE2-9C8E-4305-9A6F-94584380A09A}Img400.jpg),White Trash,Nancy Isenberg,9781515975441,"April 22, 2019 23:24"
![](https://img1.od-cdn.com/ImageType-400/0293-1/FB2/A6B/55/{FB2A6B55-2C4D-4354-8193-71600058DD9A}Img400.jpg),When the Earth Had Two Moons,Erik Asphaug,9780062895080,"November 30, 2020 07:11"
![](https://img1.od-cdn.com/ImageType-400/1219-1/8BF/8D0/82/{8BF8D082-5CF6-4DE5-B38D-344B211E047C}Img400.jpg),When the Air Hits Your Brain,"Frank T Vertosick, Jr., MD",9781515979159,"October 27, 2019 05:03"
![](https://img1.od-cdn.com/ImageType-400/0293-1/BD9/F3A/BE/{BD9F3ABE-6958-47ED-A994-40245DC957D7}Img400.jpg),What Every BODY Is Saying,"Joe Navarro, Marvin Karlins",9780061755668,"April 23, 2019 16:24"
![](https://img1.od-cdn.com/ImageType-400/0293-1/553/B9E/89/{553B9E89-4C2B-414B-9E37-1A301A262065}Img400.jpg),West Like Lightning,Jim DeFelice,9780062681454,"February 08, 2020 08:09"
![](https://img1.od-cdn.com/ImageType-400/5054-1/65B/77F/33/{65B77F33-C23A-40BB-BEA9-F1E56E004530}Img400.jpg),Weather 101,Kathleen Sears,9781508245001,"December 18, 2019 00:46"
